Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Percentage of cicuits per modulation,0,BPSK,all, ,0.0,5.71222931173349E-6,5.729542667904248E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,0,QPSK,all, ,0.1741967239385996,0.174897037066656,0.17018460586475986,0.1798836453196301,0.1768105969378978,0.17901670195248176,0.17487449813531927,0.17603985113346793,0.1716382766106523,0.17272421095895102
Percentage of cicuits per modulation,0,8QAM,all, ,0.3154954728082325,0.31048822423927386,0.31605876218960205,0.3097497396118058,0.31125064510579736,0.31705022060806354,0.31350051685637104,0.3135113059184225,0.30942672379136466,0.3094114087714992
Percentage of cicuits per modulation,0,16QAM,all, ,0.33902427856823986,0.33062954479244616,0.3352355414990775,0.30949079002641283,0.32576982625150525,0.31523716084020403,0.333158192316259,0.324193112334409,0.3371199503796189,0.340373670660631
Percentage of cicuits per modulation,0,32QAM,all, ,0.06912695596433191,0.07918863494856138,0.07624875382446973,0.09592643530000748,0.08051493778312976,0.0864072155188736,0.0739932723004963,0.08532790327126727,0.08137397916403441,0.07506521825997112
Percentage of cicuits per modulation,0,64QAM,all, ,0.10215656872059614,0.10479084672375087,0.10226660707942292,0.10494938974214375,0.10565399392166983,0.10228870108037708,0.1044735203915544,0.10092782734243329,0.10044107005432973,0.10242549134894766
Percentage of cicuits per modulation,1,BPSK,all, ,0.0,5.1472102120650604E-5,5.706785367802317E-6,0.0,5.734668364128502E-6,0.0,5.7400668143777195E-6,0.0,0.0,0.0
Percentage of cicuits per modulation,1,QPSK,all, ,0.17211172748498424,0.1668096447281129,0.16582206243223194,0.17104955753220927,0.1771553751046577,0.1693230623180698,0.17345333899686594,0.16901497586486627,0.16710987826964077,0.17348402993351283
Percentage of cicuits per modulation,1,8QAM,all, ,0.31186287051750544,0.31991627204721707,0.31791930605489926,0.3152661359712353,0.3099932330913303,0.3170689862233431,0.31367743120529923,0.3186182851685432,0.31908942940326906,0.30841922925206233
Percentage of cicuits per modulation,1,16QAM,all, ,0.35882329319572964,0.3646112140553153,0.37053586714603665,0.36053859698107615,0.35872644484969435,0.3593940329747628,0.35257786400633706,0.3521255602285215,0.3715011118497971,0.3627694787932838
Percentage of cicuits per modulation,1,32QAM,all, ,0.05383295949333685,0.04540983231532954,0.04353135878559607,0.04940937815183512,0.05176685132298799,0.05160098592596405,0.06183199972447679,0.06076070259416729,0.04685243346094771,0.05304680398579931
Percentage of cicuits per modulation,1,64QAM,all, ,0.1033691493084438,0.10320156475190446,0.1021856987958683,0.10373633136364413,0.10235236096296552,0.10261293255786025,0.09845362600020664,0.09948047614390178,0.09544714701634534,0.10228045803534166
Percentage of cicuits per modulation,2,BPSK,all, ,5.7464659234570735E-6,0.0,0.0,0.0,5.7473906846291785E-6,5.731217367881112E-6,0.0,0.0,2.287662066559528E-5,1.150152395192363E-5
Percentage of cicuits per modulation,2,QPSK,all, ,0.17849097804850017,0.1711746810205052,0.17222203092180022,0.16493516906441857,0.16180054255368062,0.1698847452187319,0.16643623032924668,0.1671632554834865,0.17330183985221703,0.16787049284030134
Percentage of cicuits per modulation,2,8QAM,all, ,0.31283185840707967,0.3248348525561329,0.31676480378315713,0.3222360945661138,0.33959607338268427,0.3199280159098594,0.3225286419937237,0.336629919094222,0.32093039216246977,0.326355742135833
Percentage of cicuits per modulation,2,16QAM,all, ,0.3644983335248822,0.35904457978354654,0.3733170345373782,0.3710998350591038,0.3496942388155777,0.36455700555354964,0.37237173492745557,0.3507827003735876,0.3561260730564881,0.3571223187072287
Percentage of cicuits per modulation,2,32QAM,all, ,0.04351223997241696,0.04720380884720495,0.03955327525452521,0.046412535508109594,0.05073221757322176,0.04462325842632234,0.04061799009793066,0.04803350828539341,0.04948784965484899,0.053125539133935244
Percentage of cicuits per modulation,2,64QAM,all, ,0.10066084358119756,0.09774207779261034,0.09814285550313924,0.0953163658022542,0.09817118028415099,0.10100124367416884,0.09804540265164337,0.09739061676331048,0.10013096865331053,0.09551440565874979
Percentage of cicuits per modulation,3,BPSK,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.761497067397993E-6,0.0,0.0
Percentage of cicuits per modulation,3,QPSK,all, ,0.16842548139268157,0.17534624918385153,0.16752712308267864,0.16932976853627676,0.16244743941511788,0.17534974302242504,0.17925544233441407,0.1570007950865953,0.17272481336303408,0.1702272151753033
Percentage of cicuits per modulation,3,8QAM,all, ,0.3377385350446956,0.32144404832754564,0.3301389968056635,0.32955670947094823,0.33722756216673283,0.3244658784484547,0.32288675312644743,0.3504488206215503,0.3245094484064628,0.31899905614770135
Percentage of cicuits per modulation,3,16QAM,all, ,0.3505161175053456,0.3627743847829478,0.3645687645687646,0.3590006354804175,0.36442964215660895,0.36081725783032564,0.3510016211208893,0.3587857068780752,0.3657221138183304,0.3697253620018877
Percentage of cicuits per modulation,3,32QAM,all, ,0.04747935241805806,0.042855739618302524,0.0454171343060232,0.04430042766114581,0.043486514003692904,0.04395123187904768,0.048170449282075034,0.03985227521519191,0.0425940955374051,0.04281866525472502
Percentage of cicuits per modulation,3,64QAM,all, ,0.09584051363921917,0.09757957808735244,0.09234798123687013,0.0978124588512117,0.09240884225784742,0.09541588881974694,0.09868573413617415,0.09390664070151988,0.0944495288747676,0.0982297014203826


Percentage of cicuits per modulation and bandwidth,0,BPSK,100.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,BPSK,200.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,BPSK,400.0, ,0.0,5.71222931173349E-6,5.729542667904248E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,BPSK,10.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,BPSK,40.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,BPSK,80.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,BPSK,160.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,QPSK,100.0, ,0.004006364396011951,0.004055682811330778,0.0036153414234475806,0.004010841355975118,0.0038821033316130513,0.0038728333648897534,0.003598005676853401,0.003986263783671849,0.004014426666360368,0.003995867131709489
Percentage of cicuits per modulation and bandwidth,0,QPSK,200.0, ,0.007732283284303064,0.008088516705414623,0.008153139216427744,0.00872947824535761,0.007620849819370377,0.007894842533464149,0.00830967977749476,0.008156597467888431,0.007644065655115379,0.007740565472282953
Percentage of cicuits per modulation and bandwidth,0,QPSK,400.0, ,0.007411774132622108,0.007671523965658077,0.007534348608294086,0.007590100069628666,0.007437353059235048,0.007969430435306471,0.007538678561026174,0.007679166163350532,0.0072592779775100215,0.007472271536296745
Percentage of cicuits per modulation and bandwidth,0,QPSK,10.0, ,2.74722130012248E-4,4.112805104448113E-4,3.609611880779676E-4,3.682838547810725E-4,4.013991627960319E-4,4.016271637663448E-4,3.8264504817329823E-4,3.163701415612579E-4,3.847876776053572E-4,3.710448050873097E-4
Percentage of cicuits per modulation and bandwidth,0,QPSK,40.0, ,0.0015281418481931297,0.0014166328693099057,0.0012318516735994134,0.0012084313985003942,0.0016801422099891048,0.0014688079132026324,0.0013021353878136118,0.0013690198853014432,0.0014242887171063967,0.001472762457115783
Percentage of cicuits per modulation and bandwidth,0,QPSK,80.0, ,0.003073453829512025,0.003507308797404363,0.003351782460723985,0.00360803088980832,0.003778886404036929,0.0033679306447263486,0.003106849346362302,0.003388036606901471,0.0032333651118181504,0.00317386017890068
Percentage of cicuits per modulation and bandwidth,0,QPSK,160.0, ,0.006690628541339957,0.0066090493136756485,0.006749401262791204,0.00721606177961664,0.007219450656574345,0.007378464751478848,0.006676299422605756,0.007403061312533435,0.006868747200238913,0.0064790131349861
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.007343093600119047,0.007197408932784198,0.007494241809618756,0.007745469820864432,0.007649521188141522,0.007785829446156141,0.0072417003146827185,0.007460583156453663,0.007839331043750933,0.007283894942944726
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.008854065315186411,0.008951063331486379,0.00872609348321817,0.00881004033859097,0.008853718676529617,0.008962023282900437,0.008663769225058111,0.009134468814532318,0.00858019090063289,0.009515872155085313
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.0073717104886619885,0.006928934155132724,0.007603103120308937,0.007457748059316718,0.007150639371523597,0.007430102529677378,0.007361633837244499,0.007765448929230876,0.007718725950770149,0.007386645812045827
Percentage of cicuits per modulation and bandwidth,0,8QAM,10.0, ,0.0010759950092146381,0.001176719238217099,0.0010714244788980944,0.001271730186040891,0.001066574918286599,0.0011188185276348177,0.0011479351445198946,0.0010353931905641167,0.0011256475344873136,0.001478470838732511
Percentage of cicuits per modulation and bandwidth,0,8QAM,40.0, ,0.0024953926809445862,0.0028104168213728773,0.0025782942005569114,0.0027103389937794555,0.002546017546877688,0.0023581252043995385,0.0024786261329434543,0.0026920222954667033,0.0028485774342127935,0.00288273271644756
Percentage of cicuits per modulation and bandwidth,0,8QAM,80.0, ,0.005219720470232713,0.005449466763393749,0.005168047486449632,0.005748680795723304,0.005097769367509605,0.005290003499893856,0.0052485193921083745,0.005378292406541384,0.005478917081127026,0.005383003864574355
Percentage of cicuits per modulation and bandwidth,0,8QAM,160.0, ,0.007829580705349068,0.007957135431244752,0.007780718943013969,0.008228842380264589,0.007947703423361431,0.007935005249840784,0.007841367927491618,0.008150845283496407,0.008109256728041258,0.008265736581021914
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.0055745698881652,0.005655107018616155,0.005849863063930237,0.005645100961566127,0.005556511267847927,0.005307216092626699,0.0057796535634534,0.005602627597830276,0.005048184606195656,0.005953842026247139
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.008110026213069905,0.00836270371237783,0.00872609348321817,0.007578591199166758,0.007804346579505706,0.008313682289963337,0.008600946903716225,0.008087571255184157,0.00829303591734531,0.008482655082457572
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.008155813234738614,0.008448387152053831,0.008399509551147627,0.008165543592724093,0.007850220769539538,0.008216144264477225,0.008406768819568582,0.008375180474785299,0.00786230344241394,0.008397029358206656
Percentage of cicuits per modulation and bandwidth,0,16QAM,10.0, ,9.72974210460045E-4,0.001165294779593632,9.396449975362966E-4,0.0010875882586503548,0.0010092321807443087,9.294800075735408E-4,0.0011993352256178004,0.0010066322686040025,9.361252455175107E-4,0.0010046751645441001
Percentage of cicuits per modulation and bandwidth,0,16QAM,40.0, ,0.005088082782935177,0.005198128673677476,0.004291427458260282,0.004569021573377681,0.004289236768163312,0.004572812136025383,0.004734518581129317,0.0045499778540900905,0.00470359862625056,0.004766498649967747
Percentage of cicuits per modulation and bandwidth,0,16QAM,80.0, ,0.006633394764254072,0.006649034918857782,0.006709294464115874,0.006306861013125867,0.006256092665863868,0.005972769678296642,0.0065049658189460695,0.006609259866434279,0.006667738711937607,0.006798682505522859
Percentage of cicuits per modulation and bandwidth,0,16QAM,160.0, ,0.007566305330753998,0.00801996995367382,0.007946875680383192,0.007826031914097791,0.008182808647284821,0.007831729693443723,0.008138346173835074,0.008185358389848544,0.008074798130046749,0.007849024723000782
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,0.002592690101990591,0.0030389059938422166,0.0027788281939335603,0.003936033697972713,0.0029760880784448648,0.002954828419138108,0.0026956486975790563,0.0031061795716923503,0.0029060084308703093,0.0027571483208795474
Percentage of cicuits per modulation and bandwidth,0,32QAM,200.0, ,0.0026957109007451838,0.002679035547203007,0.00300800990064973,0.00379792725242981,0.0033602844199782096,0.0027138521208783014,0.002781315499408899,0.0030429055433800986,0.0030036411251880865,0.0030825260730330344
Percentage of cicuits per modulation and bandwidth,0,32QAM,400.0, ,0.001442291182564302,0.0016965321055848466,0.0016959446296996574,0.0016630317817457807,0.0016858764837433338,0.0017212592732843348,0.0016105358744010463,0.0016623812892946096,0.0015219214114241739,0.0011645098498124797
Percentage of cicuits per modulation and bandwidth,0,32QAM,10.0, ,5.83784526276027E-4,6.968919760314858E-4,6.818155774806055E-4,6.847777924835567E-4,6.537072079821091E-4,5.680155601838305E-4,5.996676128089002E-4,4.88935673321944E-4,7.293736575504532E-4,5.537130168226007E-4
Percentage of cicuits per modulation and bandwidth,0,32QAM,40.0, ,0.0015338652259017183,0.002050690322912323,0.0017360514283749871,0.002002543460372082,0.0020356671827513047,0.001795847175126656,0.001747602757328795,0.0019499905088957532,0.0019239383880267859,0.0019979335658547445
Percentage of cicuits per modulation and bandwidth,0,32QAM,80.0, ,0.0023752017490642277,0.0023591507057459313,0.0023376534085049333,0.0027103389937794555,0.0026779058432249555,0.002306487426201009,0.002273025808551831,0.002715031033034795,0.002641825846245736,0.002123517961422757
Percentage of cicuits per modulation and bandwidth,0,32QAM,160.0, ,0.0030333901855519054,0.002856114655866745,0.0031283302966757195,0.004304317552753785,0.0035839210963931416,0.0034941563247671997,0.0029126712622146583,0.0035375934010940654,0.003296539208141418,0.003099651217883218
Percentage of cicuits per modulation and bandwidth,0,64QAM,100.0, ,0.0015510353590274836,0.0019250212780541863,0.0017646991417145084,0.0018414192739053625,0.0019553873501920982,0.0018245348296813948,0.0014620467512293186,0.001990255799639913,0.0016884713017309703,0.0017125144850183524
Percentage of cicuits per modulation and bandwidth,0,64QAM,200.0, ,0.0025354563249047057,0.002507668667851002,0.0028475827059484113,0.0025952502891603705,0.0026377659269453523,0.002564676317193659,0.002472915012821465,0.002542465501274109,0.002463789756607436,0.0027571483208795474
Percentage of cicuits per modulation and bandwidth,0,64QAM,400.0, ,0.0023694783713556393,0.002250618348822995,0.00240067837785188,0.0023650728799222,0.0022306324903950915,0.002272062240735322,0.0024386482920895273,0.0023066259412011713,0.002136433075659595,0.002306186173158048
Percentage of cicuits per modulation and bandwidth,0,64QAM,10.0, ,3.2623252938954455E-4,3.1417261214534194E-4,3.3231347473844635E-4,2.5319515016198734E-4,2.924479614656804E-4,3.1556420010212807E-4,3.312449670753925E-4,2.185830068968691E-4,2.756687839560768E-4,2.911274624531199E-4
Percentage of cicuits per modulation and bandwidth,0,64QAM,40.0, ,0.0011332287863005232,0.001153870320970165,0.00129487664294636,0.001225694704193257,0.0011411204770915763,0.001027018033059653,0.00108511282317801,9.893757154279337E-4,9.705838435120203E-4,0.0010046751645441001
Percentage of cicuits per modulation and bandwidth,0,64QAM,80.0, ,0.0014537379379814792,0.0016565465004027122,0.001546976520334147,0.001519170900971924,0.0014278341648030278,0.001560608407777797,0.0014906023518392662,0.0014380460980057176,0.001332399122454371,0.0013985534960983211
Percentage of cicuits per modulation and bandwidth,0,64QAM,160.0, ,0.0021290965075949223,0.0018507622970016509,0.0019709626777590613,0.002180930952531664,0.0020815413727851366,0.0020999363134068883,0.0019417808414764388,0.001961494877679799,0.001763131597385741,0.0019693916577711054
Percentage of cicuits per modulation and bandwidth,1,BPSK,100.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,1,BPSK,200.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,1,BPSK,400.0, ,0.0,5.7191224578500675E-6,5.706785367802317E-6,0.0,5.734668364128502E-6,0.0,5.7400668143777195E-6,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,1,BPSK,10.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,1,BPSK,40.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,1,BPSK,80.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,1,BPSK,160.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,1,QPSK,100.0, ,0.002839654193222692,0.0025564477386589802,0.0026593619813958798,0.002524317209233417,0.002442968723118742,0.0025391596753993172,0.002554329732398085,0.00251994960100798,0.0025389147428990623,0.0027269453067384707
Percentage of cicuits per modulation and bandwidth,1,QPSK,200.0, ,0.006138242397471273,0.005461761947246815,0.006003538206928037,0.006005937558763027,0.006101687139432726,0.005535825598618331,0.006411654631659913,0.006409186884755455,0.005954700717544302,0.0063685892488609145
Percentage of cicuits per modulation and bandwidth,1,QPSK,400.0, ,0.006361972727846395,0.006617024683732528,0.006785367802316955,0.006627044953359963,0.006807051348220532,0.006479432234746456,0.006893820244067641,0.006472473290260222,0.006550743907750854,0.00684308916596635
Percentage of cicuits per modulation and bandwidth,1,QPSK,10.0, ,1.147335027564724E-4,6.862946949420081E-5,7.989499514923243E-5,7.407702871339598E-5,3.4408010184771016E-5,9.150124956393936E-5,9.758113584442123E-5,6.903971509610904E-5,6.877421425460214E-5,4.001806529804883E-5
Percentage of cicuits per modulation and bandwidth,1,QPSK,40.0, ,0.0012735418805968437,8.693066135932102E-4,0.0011185299320892541,0.0010997589647450325,0.0012730963768365275,0.0010179514013988254,0.001142273296061166,0.0011334019894944567,0.0011233121661585017,9.890178995089211E-4
Percentage of cicuits per modulation and bandwidth,1,QPSK,80.0, ,0.0025241370606423927,0.0019845354928739734,0.0022713005763853223,0.002051363872063273,0.0022307859936459874,0.0022189053019255295,0.0020779041868047342,0.0021747510255274347,0.0023153985465716054,0.002321047787286832
Percentage of cicuits per modulation and bandwidth,1,QPSK,160.0, ,0.005604731609653677,0.004798343742136207,0.0053016036066883526,0.0052480725726952076,0.005585566986661162,0.005152664116069335,0.0055908250772038984,0.005546190446054092,0.005375851080901401,0.00549390867877499
Percentage of cicuits per modulation and bandwidth,1,8QAM,100.0, ,0.006522599631705456,0.006662777663395328,0.006220396050904526,0.005732422375821258,0.0066694193074814485,0.006370774500889278,0.006377214230773646,0.006455213361486195,0.006275647050732446,0.006077029058832273
Percentage of cicuits per modulation and bandwidth,1,8QAM,200.0, ,0.007893664989645301,0.00768078146089264,0.007852536666095988,0.0072367558820009914,0.008137494408698345,0.007560290745220489,0.00830587668040456,0.007997100331965963,0.007851722794067078,0.00786640826430217
Percentage of cicuits per modulation and bandwidth,1,8QAM,400.0, ,0.007153633896866054,0.007291881133758836,0.007327512412258175,0.007134187688397828,0.007179804791888885,0.006931219654468406,0.006893820244067641,0.007191636989178025,0.007467733431145549,0.0070031614271585454
Percentage of cicuits per modulation and bandwidth,1,8QAM,10.0, ,3.728838839585353E-4,4.174959394230549E-4,4.6795640015978996E-4,5.584268318394466E-4,3.4408010184771014E-4,4.975380445039202E-4,2.984834743476414E-4,4.832780056727633E-4,4.81419499782215E-4,4.5734931769198667E-4
Percentage of cicuits per modulation and bandwidth,1,8QAM,40.0, ,0.0019676795722735015,0.0019902546153318236,0.0018661188152713577,0.0021311391337546226,0.002110357957999289,0.0022760935829029914,0.0019975432514034463,0.0022265308118495164,0.0019084844455652095,0.0023153309208156824
Percentage of cicuits per modulation and bandwidth,1,8QAM,80.0, ,0.0038952024185822383,0.003957632740832247,0.004240141528277122,0.0038804966579863583,0.004146165227264908,0.004243370448527688,0.003908985500591227,0.0044127884565596355,0.0043557002361248025,0.004156161924525929
Percentage of cicuits per modulation and bandwidth,1,8QAM,160.0, ,0.006958586942180051,0.0066799350307688785,0.006716886377903327,0.006718216681007219,0.007409191526454025,0.007240036371746702,0.007111942783013994,0.007243416775500107,0.006940464455193599,0.007283287884244888
Percentage of cicuits per modulation and bandwidth,1,16QAM,100.0, ,0.004813070440634017,0.004392286047628852,0.005027677909033842,0.004837799798282552,0.0045131840025691315,0.004935348648354979,0.0045920534515021755,0.0049363396293717965,0.004699571307397813,0.004590643776333316
Percentage of cicuits per modulation and bandwidth,1,16QAM,200.0, ,0.00793955839074789,0.007692219705808341,0.0081264623637505,0.008028810265936532,0.007971189026138619,0.007806200353423576,0.00805331374057194,0.00820421947725429,0.007782948579812475,0.007380474614254435
Percentage of cicuits per modulation and bandwidth,1,16QAM,400.0, ,0.007882191639369655,0.007932422849038044,0.008685727329795126,0.008342213079723977,0.007976923694502747,0.008023515821137932,0.007921292203841253,0.008451611789682014,0.00793769056188533,0.007814956466061822
Percentage of cicuits per modulation and bandwidth,1,16QAM,10.0, ,5.392474629554203E-4,3.946194495916547E-4,4.1088854648176684E-4,5.242374339717254E-4,4.530388007661517E-4,5.947581221656058E-4,4.764255455933507E-4,4.084849809853118E-4,4.584947616973476E-4,4.5734931769198667E-4
Percentage of cicuits per modulation and bandwidth,1,16QAM,40.0, ,0.007979715116712655,0.007337634113421637,0.006928037436512013,0.007704010986193182,0.007472272878459438,0.007903420431085263,0.0065436761683906,0.006771645389010028,0.007335916187157562,0.0074033420801390346
Percentage of cicuits per modulation and bandwidth,1,16QAM,80.0, ,0.006505389606291986,0.006485484867201977,0.00684814244136278,0.006894861903323779,0.006342543210726124,0.006496588719039694,0.006801979175037598,0.0070650641781684915,0.006441851401847734,0.006294269984735966
