Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.6444111558345308E12,1.6507111549496365E12,1.6779306792622566E12,1.6189032680218538E12,1.6468058868192292E12,1.708386836651941E12,1.6715024612659553E12,1.667436611326711E12,1.642943089828866E12,1.6385260343951477E12
Total energy consumption (Joule),1,all,all,all, ,1.798713031889137E12,1.7889062248457646E12,1.83117174346411E12,1.8050577452956396E12,1.8191077586438574E12,1.792755426316991E12,1.8402592914909465E12,1.7749167544920144E12,1.8251757405975413E12,1.8171403919963325E12
Total energy consumption (Joule),2,all,all,all, ,1.9431150806766128E12,1.893812251686629E12,1.9396036920623665E12,1.9056931640132935E12,1.9510929371311245E12,1.9128926351622527E12,1.924095316884292E12,1.9803545510341636E12,1.9164290090010713E12,1.9484031598109668E12
Total energy consumption (Joule),3,all,all,all, ,1.9952751514018845E12,2.0763123886427217E12,1.97945743056617E12,1.9851976545125483E12,1.9936900570074426E12,1.9828499697776448E12,2.015737610659178E12,2.0846091812928242E12,2.031431520480892E12,2.0416026477838916E12


Average power consumption (Watt),0,all,all,all, ,333082.02542383975,332740.58415705885,333703.7065130577,331859.05096904316,332346.8847807606,333841.0002472641,335328.20025377336,334783.2533519683,331509.9178844049,333263.5612933814
Average power consumption (Watt),1,all,all,all, ,412161.5413119404,414242.29305396817,412695.8830041985,414880.9907521595,415114.6823674628,412710.5660624644,415154.9361728507,412885.756115907,413931.36306437274,413664.52694300475
Average power consumption (Watt),2,all,all,all, ,490252.5061520679,488746.98853342305,485617.93723825394,487707.7104911218,487936.7987375227,493018.67042331485,493286.6099305686,491632.51438913145,488684.6733113095,490626.89227329084
Average power consumption (Watt),3,all,all,all, ,567089.2237422033,564083.5507850932,566541.1537255127,563827.577984973,566561.1626991058,566892.7176452412,562727.1998739572,565869.5294448187,562836.3426601167,564617.4088908538


Energy efficiency (bits/Joule),0,all,all,all, ,1.868484313009207E7,1.8670577584204085E7,1.8347366470358312E7,1.8844699857787196E7,1.8621305803252645E7,1.8059726520549454E7,1.851049716319032E7,1.848751882329592E7,1.8606217109358713E7,1.876875661719881E7
Energy efficiency (bits/Joule),1,all,all,all, ,1.695645121659269E7,1.719185269668356E7,1.6759276878104756E7,1.7032984612943128E7,1.6871442451567777E7,1.7142209822517514E7,1.672120893492879E7,1.706037259269979E7,1.6763057210853616E7,1.695487996347965E7
Energy efficiency (bits/Joule),2,all,all,all, ,1.5555617811012732E7,1.5814403983428871E7,1.546754877199862E7,1.5776210031035613E7,1.535803413086055E7,1.5806673519547852E7,1.5609842452287393E7,1.529235850667708E7,1.565488929311894E7,1.5499275676776163E7
Energy efficiency (bits/Joule),3,all,all,all, ,1.4866558115564726E7,1.4371285550249692E7,1.5014960907534426E7,1.4775405670513565E7,1.4880865953462142E7,1.4962168335376585E7,1.4651200211787608E7,1.4206848406248823E7,1.4684410833315814E7,1.4503530278041704E7


Total data transmitted (bits),0,all,all,all, ,3.0725564488141595E19,3.081973068759832E19,3.0785609084281872E19,3.050774618466265E19,3.066567601705753E19,3.0852999061240648E19,3.0940341567529103E19,3.082676573855533E19,3.0568955827676516E19,3.075309635050645E19
Total data transmitted (bits),1,all,all,all, ,3.049978977787769E19,3.0754612305728664E19,3.0689114260076835E19,3.0745520801094443E19,3.0690971863160283E19,3.0731789678382694E19,3.077136010746414E19,3.0280741152659223E19,3.0595525359498703E19,3.0809397223088177E19
Total data transmitted (bits),2,all,all,all, ,3.022635555782056E19,2.9949512016939426E19,3.0000914705323246E19,3.0064615610182517E19,2.996495192094077E19,3.023646936195729E19,3.0034824759747785E19,3.0284291764743963E19,3.0001483974033412E19,3.0198837703411937E19
Total data transmitted (bits),3,all,all,all, ,2.9662873994858324E19,2.983927822870557E19,2.972147593807958E19,2.9332100681574937E19,2.966783449107805E19,2.9667735031609496E19,2.9532975308197994E19,2.9615726624901624E19,2.9830375026488828E19,2.9610445817863782E19


Total energy consumption by transponders (Joule),0,all,all,all, ,1.3503480063268315E12,1.3475608737410613E12,1.3644372625564187E12,1.3224578802203108E12,1.3438416515881926E12,1.3693610591684534E12,1.3664955283583096E12,1.3618705134067153E12,1.3348071839257954E12,1.340045962780274E12
Total energy consumption by transponders (Joule),1,all,all,all, ,1.5901012354815735E12,1.58991125651581E12,1.6311802751232063E12,1.602413614665675E12,1.6140743152806868E12,1.5874763947500198E12,1.6389041809527822E12,1.5692038535376682E12,1.609032124487797E12,1.6209153813271108E12
Total energy consumption by transponders (Joule),2,all,all,all, ,1.7876672785408057E12,1.7443441986933604E12,1.7768790240583564E12,1.751896046762199E12,1.7910834871845205E12,1.7611097905321848E12,1.7746142728954548E12,1.8261084758839907E12,1.7703043293497686E12,1.795922139752247E12
Total energy consumption by transponders (Joule),3,all,all,all, ,1.8749906144979055E12,1.953835555186609E12,1.8620236204144248E12,1.8552503717747483E12,1.8772431252026355E12,1.8680443889132551E12,1.885899969798422E12,1.965950441289353E12,1.9000100008615386E12,1.909930221475319E12


Total energy consumption by OXCs (Joule),0,all,all,all, ,2.122788626438818E11,2.188386984661755E11,2.263052206849788E11,2.1399855732990582E11,2.1870439524396808E11,2.44736569582542E11,2.2017898170691608E11,2.2058263280379977E11,2.2243773065191025E11,2.1546735873007056E11
Total energy consumption by OXCs (Joule),1,all,all,all, ,1.5059307822021115E11,1.4365086417545862E11,1.443702194884348E11,1.462851283596852E11,1.4800992995537875E11,1.481872156325159E11,1.4535460809738602E11,1.4850041808662186E11,1.5603016247471356E11,1.4165128189941858E11
Total energy consumption by OXCs (Joule),2,all,all,all, ,1.1221495346534868E11,1.0789828084248196E11,1.1746799116388474E11,1.1102335393818295E11,1.1550792441624481E11,1.0956928700813034E11,1.0790765880693805E11,1.1134744851566017E11,1.0548476016974706E11,1.1007328720729924E11
Total energy consumption by OXCs (Joule),3,all,all,all, ,8.68312290416864E10,8.841380822389316E10,8.477334102108339E10,9.380659028315593E10,8.406093141312466E10,8.287606989132368E10,9.372744179754637E10,8.565759569963881E10,9.487081519201564E10,9.505194018746747E10


Total energy consumption by Amplifiers (Joule),0,all,all,all, ,8.178428686381734E10,8.43115827423996E10,8.718819602085912E10,8.244683047163718E10,8.42598399870685E10,9.42892079009454E10,8.482795120072972E10,8.498346511619577E10,8.569817525116026E10,8.301271288480315E10
Total energy consumption by Amplifiers (Joule),1,all,all,all, ,5.801871818735223E10,5.53441041544961E10,5.562124885246895E10,5.635900227027927E10,5.702351340779188E10,5.709181593445538E10,5.600050244077838E10,5.7212482867724304E10,6.011345363503052E10,5.457372876980315E10
Total energy consumption by Amplifiers (Joule),2,all,all,all, ,4.32328486704585E10,4.156977215078651E10,4.525667684012531E10,4.277376331291163E10,4.4501525530359085E10,4.221355762193752E10,4.157338518189908E10,4.289862663451266E10,4.063991948155563E10,4.240773285142045E10
Total energy consumption by Amplifiers (Joule),3,all,all,all, ,3.3453307862292625E10,3.406302523221953E10,3.2660469130661793E10,3.614069245464426E10,3.238600039168245E10,3.1929510973065983E10,3.611019906320948E10,3.300114430383233E10,3.6550704427338E10,3.662048612110508E10


