Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.011362727196914777,0.012636964423826336,0.008758385257696316,0.009507992367304409,0.010316810660172013,0.009137059327035702,0.00882537439853581,0.010913332825385985,0.010357326938507048,0.010544165749860848
Bandwidth blocking probability,1,all,all,all, ,0.027938560482893157,0.0268837775959901,0.02425811731516744,0.024612896480727214,0.02685847413773698,0.021274080054911507,0.022062397528438325,0.021403805418787118,0.02574748073583194,0.02470227567553211
Bandwidth blocking probability,2,all,all,all, ,0.0539460992740443,0.05601107424074156,0.05567772518558799,0.054090598318589936,0.05721610844902235,0.05994419830438538,0.06201315857212221,0.05247706354943719,0.062460794743006844,0.06157632702633856
Bandwidth blocking probability,3,all,all,all, ,0.1089524838203977,0.1094739439304012,0.09734862176892294,0.09985860417950054,0.11006618854848266,0.10840786787802972,0.11207424027709478,0.1079365445401593,0.11023472993849698,0.10938598184011651


General requested bandwidth,0,all,all,all, ,8.698147951389921E15,8.695136792219758E15,8.69303743639696E15,8.626873279962592E15,8.839118414273153E15,8.697663922953422E15,8.758599248576702E15,8.686101755195956E15,8.700050714459409E15,8.731832283281859E15
General requested bandwidth,1,all,all,all, ,8.655953709319715E15,8.689666473275179E15,8.791438791389943E15,8.711756502871638E15,8.727741248191464E15,8.599109156197687E15,8.695833225407282E15,8.666737049322125E15,8.701362276449295E15,8.713294935676795E15
General requested bandwidth,2,all,all,all, ,8.810753223972971E15,8.617295357465787E15,8.692585984906649E15,8.780674897538784E15,8.796148620353236E15,8.708655701328345E15,8.810620348703355E15,8.696702154387868E15,8.73088834267509E15,8.752018340617593E15
General requested bandwidth,3,all,all,all, ,8.796009602512036E15,8.734869350381643E15,8.672507896051614E15,8.703054196713112E15,8.749231640087945E15,8.649276410446499E15,8.781980450483746E15,8.76270409536343E15,8.657567325506118E15,8.773645460326862E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.00399061332294961,0.004463635868075793,0.003065735757645792,0.0029662317265964637,0.0035096465845988623,0.002902743814214891,0.002734590366436611,0.0038598412945809527,0.004811090026640818,0.003551410776819411
Blocking probability by QoTN,1,all,all,all, ,0.017705745377435557,0.016678778312039722,0.015299957479407747,0.014427660381145796,0.017573718632042115,0.013188720213368343,0.012347549264322388,0.012388117347690323,0.015818204249457533,0.015149897769855486
Blocking probability by QoTN,2,all,all,all, ,0.04408874138711451,0.045392367371848215,0.04518549155928231,0.04457821823598741,0.047935029425732543,0.049402707066306895,0.052104085332603266,0.04287054191274035,0.053829979712793956,0.05265347389125617
Blocking probability by QoTN,3,all,all,all, ,0.10117030655610823,0.10242067897101328,0.08864270909730164,0.09303326054705893,0.10236566703916182,0.10056107796058836,0.10474457361430077,0.10055840834948034,0.10205794143156101,0.10112286945623525


