Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,2.562570985355526,2.5177422204734956,2.5042297672718945,2.5233578871160445,2.5287807911804268,2.5229089422253144,2.531816699961335,2.4831432826501914,2.5292648768980945,2.5156126576001494
Rate of requests by circuit,1, ,2.780699307246049,2.7593423303698326,2.7572177823453017,2.817283074523711,2.740803363667219,2.7844132083710424,2.7718522608201717,2.819895344659607,2.778938170943382,2.744364727496815
Rate of requests by circuit,2, ,2.7912942631366096,2.7673589101054237,2.8265268344599725,2.820120655802515,2.766425286282901,2.7541252282469757,2.7653902370628107,2.765955415981129,2.760715935572816,2.7079011946860594
Rate of requests by circuit,3, ,2.622681152460818,2.683303118437006,2.717033417458974,2.6734213907270266,2.58571421531721,2.684228667940767,2.579164595870173,2.6346186733535286,2.5920544114967785,2.497723414671407


Maximum requests by circuit,0, ,28,28,29,27,26,26,32,26,27,31
Maximum requests by circuit,1, ,33,35,34,35,32,36,31,34,32,32
Maximum requests by circuit,2, ,39,40,37,42,38,38,43,42,42,38
Maximum requests by circuit,3, ,51,50,44,44,47,49,52,58,49,54


Virtual hops,0, ,1.762209688450978,1.7655867273574708,1.7649314362714015,1.759618338006678,1.7646440923189741,1.7610052302084158,1.7643731674459149,1.7700299383389178,1.7638931562515487,1.7632872260314691
Virtual hops,1, ,1.771462468719779,1.777000079763899,1.7790987363973372,1.7647697827386886,1.7806166698234527,1.7799607854846575,1.7740830370569547,1.7719830803682508,1.7729506154382817,1.7783048482734565
Virtual hops,2, ,1.803476313453313,1.8120764701723913,1.8011763162938974,1.8046385985425004,1.8179090302895593,1.8185182563677362,1.820725147617892,1.8157520499450321,1.81729621461954,1.818051880911109
Virtual hops,3, ,1.8582826866136823,1.859524502870455,1.8527397260273972,1.8480300381683337,1.871873797614467,1.864987012987013,1.8690225876964712,1.860764227980136,1.8716390308772806,1.8849674563915646


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


