Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,123.79437960384699,125.20028832671761,124.70564014455833,125.437121077473,124.59907774947173,125.28336986788317,123.67791338349429,125.37129964255386,125.06783577226139,125.83367893042637
Tx Utilization,1,all, ,159.07634733495271,158.26684045263346,159.40861425439897,159.8398305586824,158.93417856508086,159.95423307067955,156.84325690700476,157.84087722416416,160.7855816892786,159.2356478464364
Tx Utilization,2,all, ,191.46136224499872,192.81478958074135,189.83121037976184,192.12941130003753,194.6705472283113,194.17056697671663,191.12388174654896,189.83403440172205,192.02506072634634,192.6641289965835
Tx Utilization,3,all, ,224.00475936568122,221.1810928767502,224.1973458143255,219.12672551691452,220.33743112743645,220.25839800936075,227.79042004858107,220.8566265774039,223.46610186227463,219.55793194699527


Rx Utilization,0,all, ,123.79437960384699,125.20028832671761,124.70564014455833,125.437121077473,124.59907774947173,125.28336986788317,123.67791338349429,125.37129964255386,125.06783577226139,125.83367893042637
Rx Utilization,1,all, ,159.07634733495271,158.26684045263346,159.40861425439897,159.8398305586824,158.93417856508086,159.95423307067955,156.84325690700476,157.84087722416416,160.7855816892786,159.2356478464364
Rx Utilization,2,all, ,191.46136224499872,192.81478958074135,189.83121037976184,192.12941130003753,194.6705472283113,194.17056697671663,191.12388174654896,189.83403440172205,192.02506072634634,192.6641289965835
Rx Utilization,3,all, ,224.00475936568122,221.1810928767502,224.1973458143255,219.12672551691452,220.33743112743645,220.25839800936075,227.79042004858107,220.8566265774039,223.46610186227463,219.55793194699527


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,11, ,8.434267432904793,8.68305784307917,9.01371526749215,9.183136836700436,9.037976183423188,9.44265063096155,8.639601477180717,8.987479511029484,9.181112625155519,9.276398680806524
Tx Utilization Per Node,0,12, ,8.854967711357308,9.127851176017536,8.388767107056106,9.154551020005135,9.073947903706776,8.617127791930802,8.69387009498983,8.805843553133084,8.7768528941288,9.248296700041472
Tx Utilization Per Node,0,13, ,9.034569583506132,8.729703576436203,8.713342022631673,8.664188241799474,8.67607678179987,9.323330766040643,8.952198984931966,9.027223176728478,9.122173509489109,8.684558721883208
Tx Utilization Per Node,0,14, ,9.0427849201177,9.05179019294192,8.605476232794201,9.123131307146949,8.863558267669886,8.948259178071371,8.933003534964552,8.658856172364082,8.896538104548057,8.671021190038905
Tx Utilization Per Node,0,1, ,9.049923968639533,8.887216857238778,8.90584947765468,8.683512056401446,8.78956099294982,8.691757015620988,9.165698994806169,9.04241957461935,8.561881628058535,9.034204238007781
Tx Utilization Per Node,0,2, ,8.927019768153722,9.082410095384798,9.115992258625116,8.76874617374647,8.810454805774434,9.121334202263167,9.042350455200742,8.7976084681162,9.12841400556905,8.852489286490115
Tx Utilization Per Node,0,3, ,8.65516322056994,8.917056697671663,8.998183146710904,9.097517625451745,8.95715583466635,8.901376463850545,8.688478780338487,9.312952979046942,8.70101901771432,9.168898236467406
Tx Utilization Per Node,0,4, ,8.900892627920296,8.934731520429725,8.277465094693603,9.336384461954697,9.264816241088532,8.635029721350001,9.156713470387267,9.254211347433694,8.762268696802733,9.151509765586429
Tx Utilization Per Node,0,5, ,8.607135098840768,8.959091178387345,8.613563204771214,8.846989355609535,8.687441989059383,8.86174141438079,8.614313644173233,8.664681951932382,9.137883365918203,8.974218456859608
Tx Utilization Per Node,0,6, ,8.935709066492882,9.021634378023975,9.4181329857614,9.315905365641724,9.045510200051346,9.39912514564449,9.20223354464127,8.929982028951162,9.279568299859786,9.34192388964591
Tx Utilization Per Node,0,7, ,8.90553350316962,9.09246203369078,9.356883306672986,8.827290321306554,8.707723601319193,8.796403815391907,8.438473843237158,8.99905207654482,8.675355965005826,8.714220826668246
Tx Utilization Per Node,0,8, ,8.75350040484231,8.801893872069831,8.928915615064083,8.825700574678594,8.839149238698974,9.21271994786421,9.379386614530876,8.970002172324584,9.142741473626005,8.983993917491162
Tx Utilization Per Node,0,9, ,8.908880857870727,9.114807354306139,9.491162588620968,9.252187135888777,8.767255169145091,8.968293935264727,8.453729486343978,9.545895293955013,9.080889468175444,8.94852578154314
Tx Utilization Per Node,0,10, ,8.784031439461263,8.796581551039754,8.878191836009242,8.357880601141458,9.078450540118885,8.36421983924798,8.317860457768035,8.375091336374588,8.621136718210005,8.783419238896458
Tx Utilization Per Node,1,11, ,11.490352904003002,11.472826194284812,11.68031281474021,11.482878132590793,10.928263917688646,11.127209352844758,11.61030471789403,10.777978553231826,11.469202361909275,11.792138159843592
Tx Utilization Per Node,1,12, ,11.534174615399806,11.433408377273535,11.364150719829373,11.526877579635444,11.083604873906433,11.235716965855007,11.219681260738195,11.161986294606711,11.724499871635365,11.213500009874203
Tx Utilization Per Node,1,13, ,11.733357031419713,10.861514307719652,10.723877796867903,11.794093251969903,11.275450757351344,11.483292849102435,11.093123605268875,11.466407962557023,11.165560755968956,11.378428816873038
Tx Utilization Per Node,1,14, ,10.983934672275213,11.200821533661157,11.310711535043545,11.307611035408891,11.25021229535715,11.412228212571835,11.12603432272844,10.887532831723838,11.348243379347117,11.395195212986552
Tx Utilization Per Node,1,1, ,11.614451883010448,10.996435412840412,11.738491616801943,11.361613049746232,11.606671011315836,11.301084187451863,10.336818926871656,11.533779647293482,11.07753223927168,11.519017714319569
Tx Utilization Per Node,1,2, ,11.80782826786737,12.006793451428797,12.186977901534451,10.91961411616012,11.312143294428974,11.408090921658076,11.713154412781169,11.553340442759247,12.187441989059383,11.763404230108419
Tx Utilization Per Node,1,3, ,10.803611983332345,11.515374133538717,10.915990283784584,11.782372573414698,11.744110038114423,11.07789758477003,11.77356478464364,11.46335683393566,11.366727886723147,10.608566858226197
Tx Utilization Per Node,1,4, ,11.150956810237574,11.412188715761202,11.800432490076426,12.044700515433378,11.401139482986748,11.790370677567786,11.273545036238323,11.355560163516795,11.582706321464542,11.713549380887493
Tx Utilization Per Node,1,5, ,11.318640519778027,11.318601022967396,11.237425202914865,11.898137725378676,11.279084463929538,11.693287517033,11.325799316705176,11.009716215415605,12.131099788692064,11.376216995477614
Tx Utilization Per Node,1,6, ,11.53770957995142,11.299435195607956,11.11083792483757,11.577591484487627,11.41786638228963,12.083476509271875,11.186918656318502,11.841341311689082,11.36481229140747,11.480063984833224
Tx Utilization Per Node,1,7, ,11.255366629144696,11.213569129292809,11.911902363884117,11.101891897229299,11.14902146651658,11.547159191895254,11.419949839050497,11.50138238837214,11.329976104429567,11.18285048482335
Tx Utilization Per Node,1,8, ,11.029257262476055,11.649317692596323,11.551217489187747,10.903845014515078,11.471147579832929,10.889300313999644,10.55697414933744,11.561881628058535,11.283024270790134,11.112437545668188
Tx Utilization Per Node,1,9, ,11.971473428520646,11.104064221814088,11.43640026067895,11.120988605170133,11.598426052096293,11.855491044098189,11.570205580899342,11.281069178663824,11.565377095799514,11.665768114224777
Tx Utilization Per Node,1,10, ,10.845231747536387,10.782491063846594,10.439885854217271,11.017615577542113,11.417036949266347,11.049627742559789,10.637182297529474,10.445543772340384,11.189377332780378,11.034510338290183
Tx Utilization Per Node,2,11, ,13.607638683176333,13.755376503347355,13.595996998242391,13.421628453502379,13.57254576692932,14.410470604498686,13.919446254714932,14.137231668542766,12.884165728617415,14.637478523609218
Tx Utilization Per Node,2,12, ,13.823212275608745,14.346545016489918,13.05904773189565,13.321573157967494,14.384412583683867,13.640618520054506,13.476351284633767,12.631228153326619,13.684193376384856,12.849951616406974
Tx Utilization Per Node,2,13, ,13.554179749985188,13.278413018148784,13.307591287003575,13.805359717202835,14.632432806050911,13.03675178229358,13.390208740644193,13.578983747062425,12.644390465469913,13.918695815312914
Tx Utilization Per Node,2,14, ,13.901692438335605,13.636125757845054,12.65944862452357,12.940438809566128,13.678377471019216,13.736516776270316,13.657671268045105,13.794804194561289,12.842180618915023,13.724381381203468
Tx Utilization Per Node,2,1, ,13.127495704721843,13.339159112901633,12.90865375120959,13.467197898769674,13.27647767442779,13.421796314947567,14.108902581116574,12.853595197187827,13.785759424926438,13.399628729980055
Tx Utilization Per Node,2,2, ,14.584019590418073,14.738708849260423,13.901810928767501,14.660603906234572,13.853160732270869,14.222031320970832,13.36020103876612,13.572980231846278,14.519126330548808,14.159201769457116
Tx Utilization Per Node,2,3, ,13.644005371566246,13.75350040484231,14.339297351738846,13.769239883879377,13.34738432371586,14.36480241720481,13.208582656950451,13.651302407330608,14.186168216916483,13.0640835752513
Tx Utilization Per Node,2,4, ,13.862195627703063,13.688103560637478,13.709293599541837,13.961381993404032,14.196417639275628,14.082953176530996,13.784821375673914,14.04147165116417,13.760915931038568,14.847927404862057
Tx Utilization Per Node,2,5, ,13.81460197089085,12.981584612042578,13.061121314453858,13.05495981199518,13.61898414203053,13.303276260441969,13.19587455812943,13.819934040326244,13.692704939076169,13.882901830677174
Tx Utilization Per Node,2,6, ,13.764747121669926,13.62989513596777,14.773387048995794,13.550230068921934,14.826757114363016,14.153553725536662,13.995842960680925,14.060479491281079,14.065278353772932,14.236368663230444
Tx Utilization Per Node,2,7, ,14.060479491281079,14.197118707664355,13.604686296581551,14.690927582597705,14.033216817741968,14.448199932855422,14.280476726504334,13.762169954776152,14.201265872780773,14.032338013705393
Tx Utilization Per Node,2,8, ,13.807166696289274,13.788543950076031,13.34092659517744,13.65346485771274,13.495823212275608,13.965361297075262,13.637666133459723,13.758881845290993,13.957452060746094,13.48448762762407
Tx Utilization Per Node,2,9, ,12.964294883188183,14.004907478721094,14.045668187293876,13.951991626676145,14.017803187392618,13.835169935027746,13.965608152141714,13.408959851491993,13.879830953650492,13.503584335564904
Tx Utilization Per Node,2,10, ,12.945632640164307,13.676807472796572,13.524280664336354,13.880413531607322,13.736753757134112,13.549064913008275,13.142228015087781,12.762011967533622,13.921628453502379,12.923099709698441
Tx Utilization Per Node,3,11, ,17.384323715859946,16.31592511404704,16.30995122143887,15.734857910223749,16.551661828307363,16.348667970061417,16.084819400833382,16.637725378675672,15.151973853111361,16.52176274265853
Tx Utilization Per Node,3,12, ,15.48628473250785,15.634743369472915,15.78791200110591,15.453166656792463,16.78564093449454,15.56741118154709,15.409502932638189,17.012727847226337,15.67506961312874,15.623111558741632
Tx Utilization Per Node,3,13, ,15.050012836463456,15.682277781069178,15.736852499160692,15.187155637182297,15.15642711851018,14.701315243794063,14.897959989730829,14.300797835574777,15.691194186069476,15.629440922645497
Tx Utilization Per Node,3,14, ,14.432815925114047,15.505065465963623,15.267136678713195,14.553557675217727,14.715464976203172,16.116574836581947,15.27224164148745,15.26472737326461,15.20805932420957,15.210241522997018
Tx Utilization Per Node,3,1, ,15.243241108280506,15.635651796117463,16.390416098900015,15.902768726425341,16.055354780101506,15.630072871615617,16.3565969547959,14.845982186938405,16.8025850662559,14.810168453897347
Tx Utilization Per Node,3,2, ,16.306998834844087,16.10357051168118,17.111055157296047,15.253786756719395,15.702332286667852,16.387137863617514,17.514969291229733,15.41288978414993,15.157908248908901,16.126774887927798
Tx Utilization Per Node,3,3, ,15.457659419001915,16.18687915950787,15.70662756482414,15.429310583170409,16.072318660268184,15.539358571795328,17.869976499397673,15.61216106799376,15.860773742520292,16.235055394276912
Tx Utilization Per Node,3,4, ,16.933003534964552,14.755228390307483,16.221340126784764,15.316863163299564,16.043851334004778,17.114876473724745,16.011197345814324,16.696111538993225,17.156634476766,15.055572012559987
Tx Utilization Per Node,3,5, ,15.249066887848807,15.334547860260283,16.240219602267118,16.273811639710093,15.63027035566878,15.788316843414893,15.946076979283923,15.63488160831013,15.89038647629204,14.829739123565773
Tx Utilization Per Node,3,6, ,17.228528546319886,16.445672136974938,17.3752295752118,16.244988842150995,16.290795268282086,16.088670339870056,17.966822679068667,16.022128088156883,17.477160969251734,16.032604617177164
Tx Utilization Per Node,3,7, ,16.0256136816952,15.791446965657522,15.73548985919387,15.873847186839663,15.107204218259376,15.150048383593026,16.62926318699765,16.11256591030274,16.20240140608646,16.33351106898118
