Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.004209130972110188,0.003977266080827245,0.003166724103581031,0.003997129724485745,0.00322312020899224,0.004372656563067236,0.0036791208752621507,0.004409590554207054,0.0056641947716039726,0.005662054555627938
Bandwidth blocking probability,1,all,all,all, ,0.006620951052257736,0.006751939120988268,0.005927520164584031,0.006688640633254315,0.008071026720394548,0.007339520340326605,0.005579940621704265,0.004921230424709424,0.007002403429836371,0.006520514760610512
Bandwidth blocking probability,2,all,all,all, ,0.010804312406374984,0.016579910917445814,0.010313850546956485,0.013734616633509483,0.01168785172379762,0.01354194902836216,0.007878703095875014,0.009025189459338777,0.012162796126092966,0.011375758190750731
Bandwidth blocking probability,3,all,all,all, ,0.01897538632213992,0.02283055683178393,0.01656637811601055,0.018614143249608184,0.018941608851777175,0.02112240241837446,0.01868661293723169,0.02095815813002126,0.01670505676229494,0.024661567012675006


General requested bandwidth,0,all,all,all, ,8.755441525466511E15,8.668775711083633E15,8.728647412979684E15,8.76146706770982E15,8.695635790046104E15,8.736728633076865E15,8.741695040336446E15,8.779847206670636E15,8.803948586508941E15,8.713933417535945E15
General requested bandwidth,1,all,all,all, ,8.636060188289744E15,8.655622338080617E15,8.735550171249846E15,8.76650292349356E15,8.726605973160296E15,8.799925067779797E15,8.730511341746921E15,8.695974557462541E15,8.761297342450507E15,8.738501663466799E15
General requested bandwidth,2,all,all,all, ,8.686902030594001E15,8.80379838932543E15,8.719323127729315E15,8.712339603207826E15,8.756200033290521E15,8.720836187791939E15,8.720436459856229E15,8.734746054832797E15,8.72727215725176E15,8.680070594582109E15
General requested bandwidth,3,all,all,all, ,8.738176344325224E15,8.725632732485516E15,8.699387858816932E15,8.632829759491225E15,8.73077501085877E15,8.718981896179948E15,8.633540670683384E15,8.701734856866184E15,8.703051619027149E15,8.658605869433507E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,5.613097169476114E-4,3.7922907981447347E-4,7.648426227182879E-4,4.5162736832410116E-4,7.893182522215063E-4,0.0012994667725867255,6.40809254710874E-4,8.34251637063797E-4,8.0476160308863E-4,0.0014255010275676474
Blocking probability by QoTN,1,all,all,all, ,0.0027264709778482363,0.003053153276836783,0.002746513579817736,0.0029976534450025104,0.0025308374177631142,0.0027280459190991155,0.00225267543835013,0.002146148291522331,0.0024895607538793535,0.002879450779728688
Blocking probability by QoTN,2,all,all,all, ,0.00701233017550421,0.008732703558973123,0.007000579645308217,0.007950230437746598,0.00705353394909585,0.0067893003694560385,0.004993746929015745,0.004545908208027146,0.007305137161808618,0.006556310066885954
Blocking probability by QoTN,3,all,all,all, ,0.01276610535043857,0.015512231218967004,0.011712628986555413,0.011478182048534609,0.012466495170779694,0.014283347326159782,0.013060688690603136,0.01454191491980558,0.012059821315821997,0.016186554794751524


Blocking probability by QoTO,0,all,all,all, ,0.0036478212551625745,0.003598037001012771,0.0024018814808627435,0.0035455023561616434,0.002433801956770735,0.003073189790480511,0.0030383116205512776,0.0035753389171432576,0.004859433168515337,0.004236553528060295
Blocking probability by QoTO,1,all,all,all, ,0.0038944800744095,0.0036987858441514814,0.003181006584766293,0.003690987188251807,0.0055401893026314295,0.004611474421227489,0.0033272651833541333,0.0027750821331870928,0.004512842675957016,0.003641063980881824
Blocking probability by QoTO,2,all,all,all, ,0.003791982230870784,0.007847207358472696,0.0033132709016482726,0.005784386195762895,0.0046343177747017695,0.006752648658906126,0.0028849561668592614,0.00447928125131162,0.004857658964284346,0.004819448123864774
Blocking probability by QoTO,3,all,all,all, ,0.006209280971701366,0.007318325612816929,0.004853749129455134,0.007135961201073547,0.006465245077015348,0.006839055092214662,0.005625924246628517,0.006416243210215668,0.004645235446472933,0.008475012217923444


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,9.868603982131267E-6,0.0,0.0,0.0,0.0,0.0


Bandwidth blocking probabilities per pair,0,all,2,10, ,0.0013505407768051065,0.0,0.006748883368111694,0.004267882283018918,0.0,0.02064522961910411,0.007909204429683075,0.021510876927660662,0.0016820538121652747,0.0
Bandwidth blocking probabilities per pair,0,all,9,7, ,0.021538123443602432,0.0016627656023963443,0.0,0.0,0.0,1.0957135957513502E-5,0.002515229279361948,0.0033307092756156673,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,7,13, ,9.071172662073311E-4,0.0,0.0016656114152001713,0.0,0.008786590172578384,0.0,0.0,0.0,0.0,0.024194455967462867
Bandwidth blocking probabilities per pair,0,all,2,11, ,0.0010276757452228654,0.053667085466202864,0.0,0.018107442965921865,0.007912259539421835,0.041575746840285074,0.0024219086058756183,0.0013100345474295933,0.04394314605012508,0.004467733972680184
Bandwidth blocking probabilities per pair,0,all,5,10, ,0.01848111696148923,0.0052525810415782635,0.017619842736979332,0.0,0.00869988441095702,0.0,0.0,0.0,0.012811899564460057,0.0
Bandwidth blocking probabilities per pair,0,all,4,2, ,0.010826391801606236,0.027811737441529125,0.0,0.007433835430162257,0.014280096030264745,0.014137586330127513,0.0,4.949930424935384E-4,0.011827770972761859,0.024160619812001394
Bandwidth blocking probabilities per pair,0,all,8,13, ,0.0,0.0,0.009716898532931941,0.0,1.3617283524921395E-4,0.0,0.004450444786036006,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,3,7, ,0.004164920144042914,0.0,0.008617346265623507,0.019044174223903185,0.005433655820397001,0.0,0.0,0.0,0.01596282257147656,0.005596211574035386
Bandwidth blocking probabilities per pair,0,all,5,4, ,0.0,0.0,7.802465731759655E-4,0.0,0.009978147495417472,0.004370747262775773,0.025502869963001065,0.0023643126907800403,0.005663752373432205,0.035865127977341094
Bandwidth blocking probabilities per pair,0,all,5,14, ,0.005321759295924871,0.0,0.004627326645560572,0.0022361896414417226,0.010308636304127499,4.342117906286061E-4,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,5,1, ,0.019118921610049196,0.009681617366178565,0.0,0.0,0.018273543826942316,0.0011470832922176521,6.75980291869043E-4,0.01147816458223378,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,5,9, ,0.0,0.00924138503240874,0.0,0.0021754250304853464,0.005459875067574225,0.0,0.0,0.0,0.0255143948655759,0.0
Bandwidth blocking probabilities per pair,0,all,11,8, ,0.006913443415985987,0.0,0.0,0.0,0.0,0.0,0.011888874706492443,9.217886536912297E-4,0.002153787565743574,0.039032920462260534
Bandwidth blocking probabilities per pair,0,all,3,10, ,0.001324357233137494,0.0,3.1421083011063046E-5,0.0,0.0,0.0,0.0,0.002066462054386613,0.030702793471785315,0.00651812239311119
Bandwidth blocking probabilities per pair,0,all,7,3, ,0.0,0.0,0.0,0.0,0.00583743788730032,0.002583512859313056,0.007256506808298931,0.0,5.42678046579964E-4,0.0
Bandwidth blocking probabilities per pair,0,all,12,1, ,6.332835031627126E-4,0.002833182392717486,0.0043744872394344495,0.0,0.0,0.007283093065789818,0.027009345982323095,0.00150061776262276,0.0024113007060941613,0.0
Bandwidth blocking probabilities per pair,0,all,7,10, ,0.004295800543694702,0.0,0.0016800847793357614,0.0,0.00641887734644266,0.0,0.0,0.0018542073468814193,0.030944758560334875,0.010293635996151648
Bandwidth blocking probabilities per pair,0,all,8,12, ,0.0,0.0,9.740878812519344E-5,0.0,0.0,0.0,0.006259608966358969,0.007745993035505908,0.001110584915836725,0.006276625285505012
Bandwidth blocking probabilities per pair,0,all,12,14, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006189259224043035,0.0012225440813891835,0.0
Bandwidth blocking probabilities per pair,0,all,9,8, ,0.0,0.0,0.0,5.310589497141234E-4,0.006661891041839947,0.0,0.0,0.0,0.0,0.0023444597100404974
Bandwidth blocking probabilities per pair,0,all,3,12, ,0.0,0.0020987557603936256,0.010979912391159039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,3,11, ,0.005336622911062148,0.0,0.010380145420813162,0.001288404949084552,0.012219380402752432,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,5,12, ,0.0,0.0,0.0,8.088505914106577E-4,4.333714780983115E-4,0.0040877053662795055,0.0,0.0057271341629055944,0.0053490878412236,0.006068164298280357
Bandwidth blocking probabilities per pair,0,all,11,4, ,0.0,0.027016727181588165,0.0019399771491321553,0.012611615618299063,0.006407825276858233,0.002244799268769509,8.749419162246149E-4,0.0022012180899373276,0.01216465219517535,0.001452003663706797
Bandwidth blocking probabilities per pair,0,all,10,6, ,0.0018015407188674427,0.002580368169175309,0.0,0.0,0.0,0.00489067331802613,0.0,0.004850873787887792,0.019574897675080832,0.0031554148843804673
Bandwidth blocking probabilities per pair,0,all,11,7, ,0.00807716751299071,0.0,0.0,0.012313982182684953,0.0017961945122502336,0.0,0.044221093824794715,1.777979573884154E-4,0.0014412751094024217,0.015250680038940015
Bandwidth blocking probabilities per pair,0,all,13,8, ,0.01604834261323557,0.008700245683672479,0.005768105502803533,1.4656737323790739E-4,0.008557719896823485,0.003212428910161424,0.0,0.0,0.035914111949850974,0.0
Bandwidth blocking probabilities per pair,0,all,6,2, ,0.0053196369091486366,0.0,0.007523324368842426,0.0,0.0,0.002421696808691238,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,6,7, ,0.0032480672764321527,0.005388610889734962,0.0,0.0,0.0,0.00893989823254651,0.0,0.0,0.01296368363811692,0.0
Bandwidth blocking probabilities per pair,0,all,2,1, ,0.0,0.0,0.0,0.0016595707903532663,0.0,0.0,0.011472638179980258,0.0,0.012676517704050441,0.005153181137628516
