Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,5.481157386582488E11,5.352789190590321E11,5.41433721585429E11,5.4293374073269745E11,5.164646465273999E11,5.509464806115062E11,5.345553571680074E11,5.2274706134413654E11,5.232141516521201E11,5.301119302885939E11
Total consumed energy (Joule),1, ,4.26378377767282E11,4.25354333555766E11,4.208898792482107E11,4.3306702337355585E11,4.220502818551212E11,4.1989537023686194E11,4.270110750667268E11,4.1817903684485474E11,4.227220946442999E11,4.347166421931025E11
Total consumed energy (Joule),2, ,3.776725665743622E11,3.798009294241857E11,3.8026833013513104E11,3.700637861780313E11,3.7764782889106384E11,3.755802226401537E11,3.8379034047642206E11,3.7846494282506036E11,3.881452964478198E11,3.7872788697742163E11
Total consumed energy (Joule),3, ,3.5061965792945123E11,3.461889813056256E11,3.471219926773295E11,3.3719441380630994E11,3.557606129377076E11,3.4901465724671466E11,3.431052096711343E11,3.5053834200494617E11,3.4454993015760925E11,3.464664764611299E11


Average power consumption (Watt),0, ,281320.8860892636,282157.5608225169,280342.7288209665,285535.1858521808,291420.33156802785,281555.46380292333,284460.12134271057,290419.16701308516,288743.2664590929,283386.82556962455
Average power consumption (Watt),1, ,340907.76394748763,344105.24539205444,349648.1185894887,342665.0617950777,349542.81791939685,354661.9747296871,346168.62510105653,346502.6163301163,351315.20130814024,334022.2946172638
Average power consumption (Watt),2, ,398729.71867051587,402773.429123885,398416.5682682256,402839.5115410073,398113.6816165129,399676.3593810882,394087.558869277,396054.915520593,381978.0802823249,388647.9866947143
Average power consumption (Watt),3, ,449771.87918067095,457160.1578477654,449182.6927274422,471194.4275241645,438933.6927190531,457495.1493058257,469450.6277154093,455602.49217040173,469703.38989341323,450508.5441487106


Energy efficiency (bits/Joule),0, ,5.726330626475875E7,5.8069672751524806E7,5.78531056574194E7,5.7861953482119344E7,6.0417284257438E7,5.683799499844287E7,5.865495390706099E7,6.019751493271896E7,6.023287521090395E7,5.88414237859035E7
Energy efficiency (bits/Joule),1, ,7.243325209199798E7,7.276250864090759E7,7.427494368146655E7,7.23867652742984E7,7.383533486684978E7,7.489298155815987E7,7.319356805867822E7,7.449308559670581E7,7.409078051706265E7,7.189391122942457E7
Energy efficiency (bits/Joule),2, ,8.190948571815893E7,8.206455933090329E7,8.169446028963278E7,8.35900334130898E7,8.249456115708669E7,8.245870996466064E7,8.115428488840494E7,8.233599579371025E7,7.995986846933238E7,8.156986221442969E7
Energy efficiency (bits/Joule),3, ,8.801707822952722E7,8.866578574168141E7,8.872665658278064E7,9.045135998140971E7,8.667468850372076E7,8.803451989434947E7,8.889387766990517E7,8.749315382394579E7,8.941403621159083E7,8.774948791729164E7


Total data transmitted (bits),0, ,3.1386919411321766E19,3.108347166054793E19,3.132362230137162E19,3.1415206850148385E19,3.1203391358163157E19,3.1314693309406495E19,3.1354319835461997E19,3.1468074031298613E19,3.1514692705041125E19,3.1192540744074486E19
Total data transmitted (bits),1, ,3.0883972523394683E19,3.0949848370798907E19,3.1261572077260108E19,3.1348320968980685E19,3.116222389142121E19,3.1447216219506012E19,3.1254464184705827E19,3.115144678643176E19,3.131980993400381E19,3.125347968378443E19
Total data transmitted (bits),2, ,3.0934965697963147E19,3.1168195906663305E19,3.1065815995629433E19,3.0933644251596157E19,3.1153891916294873E19,3.0969860647147102E19,3.1146230628441485E19,3.116128794051096E19,3.1036046850957697E19,3.089278155751038E19
Total data transmitted (bits),3, ,3.086051786078658E19,3.0695118042575553E19,3.0798973836611916E19,3.0499693306914968E19,3.0835440308268573E19,3.0725337786805465E19,3.0499952536412975E19,3.066970507822967E19,3.0807599931813564E19,3.0402255889972527E19


Total energy consumption by transponders (Joule),0, ,2.300646532149063E11,2.2559758182150732E11,2.26163762263438E11,2.325394067640255E11,2.271653775110443E11,2.315191738909648E11,2.277959559126888E11,2.2891924284492105E11,2.2741685337021335E11,2.247502702101171E11
Total energy consumption by transponders (Joule),1, ,2.2221169766359714E11,2.2357059924933075E11,2.243892826894642E11,2.267610156201967E11,2.2494856933783493E11,2.2663044441642044E11,2.256488404807895E11,2.2117173370369846E11,2.263025987819277E11,2.222663183220107E11
Total energy consumption by transponders (Joule),2, ,2.23053367450801E11,2.2587145136982135E11,2.2446406104793454E11,2.2010527733014746E11,2.2279951687661218E11,2.2218181889488043E11,2.2481568175051163E11,2.2247491506450565E11,2.2226970969867822E11,2.1965452911449304E11
Total energy consumption by transponders (Joule),3, ,2.2336591973517633E11,2.2257390169243582E11,2.2097244372525003E11,2.2037720864756992E11,2.2345278736114578E11,2.2448185567405276E11,2.2379874564683386E11,2.2494227979664774E11,2.2480557274155206E11,2.2092571069299173E11


Total energy consumption by OXCs (Joule),0, ,2.2959531921491516E11,2.2355334954710986E11,2.2758767462941037E11,2.240680489761529E11,2.0883990358298737E11,2.3058878843389856E11,2.2144405687286893E11,2.1210898145031494E11,2.1353071324148077E11,2.2043505282802798E11
Total energy consumption by OXCs (Joule),1, ,1.4738422925397507E11,1.4566402383405493E11,1.4185022236267505E11,1.4892857114466785E11,1.4228415708794745E11,1.395144502492108E11,1.453597508184715E11,1.4221600466892108E11,1.4179167723856113E11,1.533640416868981E11
Total energy consumption by OXCs (Joule),2, ,1.1161679995540599E11,1.1111890280522911E11,1.1247228050253989E11,1.0825233204260757E11,1.1178219240249554E11,1.107355298783526E11,1.1476092737234238E11,1.1260637632506944E11,1.1974258234819443E11,1.1483217649208096E11
Total energy consumption by OXCs (Joule),3, ,9.186216925271568E10,8.923548751297798E10,9.106507503377121E10,8.432822504229968E10,9.551062341302834E10,8.989797437712317E10,8.612517594109383E10,9.066552297614265E10,8.64412832510872E10,9.062560547731145E10


Total energy consumption by Amplifiers (Joule),0, ,8.845576622842123E10,8.612798769041826E10,8.76822846925937E10,8.632628499250906E10,8.045936543336345E10,8.883851828665126E10,8.53153443824535E10,8.17188370489141E10,8.22665850404237E10,8.492660725044475E10
Total energy consumption by Amplifiers (Joule),1, ,5.678245084971589E10,5.611971047238798E10,5.465037419607387E10,5.7377436608687805E10,5.481755542933512E10,5.375047557123386E10,5.600248376747095E10,5.47912984722426E10,5.462781862381795E10,5.9086282184192726E10
Total energy consumption by Amplifiers (Joule),2, ,4.300239916815626E10,4.281057524912957E10,4.333198858465148E10,4.17061768052816E10,4.306611961195964E10,4.266287386691452E10,4.4213731353567665E10,4.338365143548943E10,4.613300440095017E10,4.424118137084593E10
