Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.001412010980113356,0.0013823883721389499,0.001086162292394889,0.0013428915615064083,0.0013626399668226791,0.0016193692359341982,0.0010071686711298064,0.0015107530066947093,0.001333017358848273,0.0012836463455575963
Blocking probability,1,all,all,all, ,0.0031696190532614493,0.002804273554910441,0.0029622607974406066,0.002606789501747734,0.0026857831230128167,0.003110373837312637,0.0030215060133894187,0.0029918834054150126,0.002557418488457057,0.0031202480399707723
Blocking probability,2,all,all,all, ,0.006408357525129846,0.005351817840709362,0.00612200564804392,0.006793451428797124,0.00722791634575508,0.005875150581590536,0.00737602938562711,0.006033137824120702,0.006576218970318147,0.005924521594881213
Blocking probability,3,all,all,all, ,0.014603945731382191,0.01604557931946995,0.015018662243023876,0.01703299958528349,0.02136777455220491,0.013567154452277979,0.016015956711495548,0.014811303987203034,0.016568912060351125,0.015897466279597924


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,6.813199834113396E-4,6.319489701206627E-4,5.924521594881213E-4,8.491814285996405E-4,7.306909967020163E-4,6.319489701206627E-4,4.937101329067678E-4,6.023263621462567E-4,7.010683887276102E-4,4.937101329067678E-4
Blocking probability by QoTN,1,all,all,all, ,0.002172324584789778,0.0020439599502340188,0.002024211544917748,0.0017576080731480934,0.00180697908643877,0.0020439599502340188,0.002073582558208425,0.001974840531627071,0.001777356478464364,0.002192072990106049
Blocking probability by QoTN,2,all,all,all, ,0.004867981910460731,0.004285403953630744,0.004542133222742263,0.0054110630566581745,0.005746785947034777,0.004305152358947015,0.005332069435393092,0.004433516993502775,0.005065465963623437,0.004344649169579556
Blocking probability by QoTN,3,all,all,all, ,0.01233287912001106,0.013744890100124415,0.012836463455575962,0.014287971246321859,0.018227778106917867,0.011503446096727689,0.01347828662835476,0.012698224618362067,0.014070738787842882,0.013261054169875783


Blocking probability by QoTO,0,all,all,all, ,7.306909967020163E-4,7.50439402018287E-4,4.937101329067678E-4,4.937101329067678E-4,6.319489701206627E-4,9.874202658135356E-4,5.134585382230385E-4,9.084266445484527E-4,6.319489701206627E-4,7.899362126508285E-4
Blocking probability by QoTO,1,all,all,all, ,9.972944684716709E-4,7.603136046764224E-4,9.380492525228588E-4,8.491814285996405E-4,8.788040365740467E-4,0.0010664138870786185,9.479234551809942E-4,0.0010170428737879416,7.800620099926931E-4,9.281750498647234E-4
Blocking probability by QoTO,2,all,all,all, ,0.0015403756146691154,0.0010664138870786185,0.001579872425301657,0.0013823883721389499,0.0014811303987203033,0.0015699982226435216,0.0020439599502340188,0.0015996208306179277,0.0015107530066947093,0.001579872425301657
Blocking probability by QoTO,3,all,all,all, ,0.0022710666113711316,0.0023006892193455377,0.0021821987874479135,0.0027450283389616288,0.0031399964452870433,0.0020637083555502893,0.0025376700831407865,0.002113079368840966,0.002498173272508245,0.00263641210972214


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


