Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.5675553343139512E12,1.583155496524566E12,1.5793524184239595E12,1.5951296912611375E12,1.5625076221245146E12,1.5644653060797302E12,1.568827195770417E12,1.5870665277772437E12,1.5659815398169922E12,1.5781059511003782E12
Total energy consumption (Joule),1,all,all,all, ,1.650350309119661E12,1.6246039422533196E12,1.598093036228288E12,1.6639227604767517E12,1.6092377883278525E12,1.6177181644712236E12,1.6366666293105305E12,1.6505521468769797E12,1.619308284213351E12,1.616385272275394E12
Total energy consumption (Joule),2,all,all,all, ,1.7548970662919385E12,1.7778438671335544E12,1.7591641721181096E12,1.7508198745872605E12,1.7397364490214893E12,1.7515926121801548E12,1.7590964520889946E12,1.7388022460039949E12,1.7772824437762236E12,1.7671003589427205E12
Total energy consumption (Joule),3,all,all,all, ,1.850798131058295E12,1.9314530587002778E12,1.9483374480090547E12,1.925823780306871E12,1.9224201761189636E12,1.9423778656681465E12,1.8900886285562732E12,1.8819860183058323E12,1.9532468698750198E12,1.9350211683011797E12


Average power consumption (Watt),0,all,all,all, ,320321.7780088877,321015.9942065213,319976.32414750603,318717.1125275123,317257.10748620785,318280.7069863226,318850.8613104881,318708.91701048263,319114.934261616,318682.628986336
Average power consumption (Watt),1,all,all,all, ,393884.22616691067,393255.8742931681,393229.5712713704,395288.6762409803,395162.10178845614,394823.46308541694,393928.747110992,394663.6930371068,396800.6730826988,392349.51933403075
Average power consumption (Watt),2,all,all,all, ,475381.91189890256,472379.83125753136,474238.2297266153,473401.0340628821,474827.81013029465,472345.0759453034,474594.98646566813,471027.9045305438,470602.1379194848,473118.9052884366
Average power consumption (Watt),3,all,all,all, ,539086.7758490518,546867.4521655062,543860.654488671,541639.2036070069,538744.2686049864,542402.5351671685,541934.0304289308,544470.0404632597,542736.5622291164,547431.2345802794


Energy efficiency (bits/Joule),0,all,all,all, ,1.9845460422967784E7,1.987961459548305E7,1.966990563678565E7,1.967020053090375E7,1.9765461869290363E7,1.9831789436027534E7,1.9847392088455174E7,1.9611467266390543E7,1.9987894072291516E7,1.9744795878586218E7
