Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,2.748437629218207,2.74046427430536,2.753726793536216,2.7769378969806255,2.737534955943257,2.7450388852473626,2.745093123597103,2.72843774136792,2.7791169249042262,2.74824724581674
Rate of requests by circuit,1, ,2.9970157691747747,2.970875355636622,2.9169763009814527,2.949195384374529,2.914645111781852,2.942678289818404,2.9244240709351192,2.9216987708552913,2.8887523142801683,2.952616879522909
Rate of requests by circuit,2, ,3.0905038174705637,3.0128184042901816,3.068149573793054,3.038812892105068,3.039596803531445,2.9326488372184953,2.964494800180387,2.9740644578200843,3.0666713220436335,2.946506132901058
Rate of requests by circuit,3, ,2.9589216811826518,3.011421562004303,3.070832590436382,2.996598299302834,3.095146116644806,2.91331600005073,3.0685478555453036,3.1302344214718802,3.0906539861057776,3.021277208370195


Maximum requests by circuit,0, ,24,25,26,25,24,24,24,25,24,24
Maximum requests by circuit,1, ,29,31,32,33,29,29,29,28,33,32
Maximum requests by circuit,2, ,33,31,32,34,34,36,33,39,33,38
Maximum requests by circuit,3, ,37,39,41,44,37,39,38,42,37,37


Virtual hops,0, ,1.6128533787665669,1.6165157250153583,1.614705998969113,1.6149316467240986,1.6134573661842067,1.618597687930043,1.615096434022478,1.61395265849887,1.6137032158385247,1.6123638382016234
Virtual hops,1, ,1.6228818208112663,1.6219759372971894,1.6277491881089183,1.6304230584851391,1.624247017991782,1.6250099712827057,1.62382773877176,1.6260391405446943,1.630127404446665,1.6252958269674365
Virtual hops,2, ,1.6591729619853766,1.6516776482513937,1.6530408371257606,1.6538019246676217,1.6652151457765805,1.6758404512162957,1.6578028009275667,1.6633485904082956,1.668401705333725,1.6749459275581595
Virtual hops,3, ,1.698016065834772,1.7020828797445389,1.698359058350351,1.7076357824160084,1.6963380514345299,1.7015596473840697,1.6975977537437603,1.6993124475002332,1.7000278124002102,1.6967647028354174


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


